National Institute of Technology Jamshedpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,23512,29510
National Institute of Technology Jamshedpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,37667,47774
National Institute of Technology Jamshedpur,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",OS,34744,45154
National Institute of Technology Surathkal,"Artificial Intelligence (4 Years, Bachelor of Technology)",OS,2318,2973
National Institute of Technology Surathkal,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,14070,16357
National Institute of Technology Surathkal,"Civil Engineering (4 Years, Bachelor of Technology)",OS,16462,23632
National Institute of Technology Surathkal,"Computational and Data Science (4 Years, Bachelor of Technology)",OS,3304,3922
National Institute of Technology Surathkal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,966,1984
National Institute of Technology Surathkal,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,6649,8437
National Institute of Technology Surathkal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,2306,5596
National Institute of Technology Surathkal,"Information Technology (4 Years, Bachelor of Technology)",OS,2099,3403
National Institute of Technology Surathkal,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,7716,14069
National Institute of Technology Surathkal,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,18099,25127
National Institute of Technology Surathkal,"Mining Engineering (4 Years, Bachelor of Technology)",OS,21166,30068
National Institute of Technology Kurukshetra,"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",OS,7643,9237
National Institute of Technology Kurukshetra,"Civil Engineering (4 Years, Bachelor of Technology)",OS,18358,38155
National Institute of Technology Kurukshetra,"Computer Engineering (4 Years, Bachelor of Technology)",OS,4503,7401
National Institute of Technology Kurukshetra,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,15171,17918
National Institute of Technology Kurukshetra,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,9648,13145
National Institute of Technology Kurukshetra,"Industrial Internet of Things (4 Years, Bachelor of Technology)",OS,9809,17041
National Institute of Technology Kurukshetra,"Information Technology (4 Years, Bachelor of Technology)",OS,7454,9517
National Institute of Technology Kurukshetra,"Mathematics and Computing (4 Years, Bachelor of Technology)",OS,8271,10484
